period,minute,mot_cle,mentions
00:00,0,but / goal,135
00:00,0,penalty,1
00:00,0,VAR,9
00:00,0,carton rouge,1
00:00,0,hors-jeu,10
00:00,0,arbitre,58
15:00,15,but / goal,54
15:00,15,penalty,0
15:00,15,VAR,4
15:00,15,carton rouge,1
15:00,15,hors-jeu,8
15:00,15,arbitre,6
30:00,30,but / goal,34
30:00,30,penalty,0
30:00,30,VAR,0
30:00,30,carton rouge,0
30:00,30,hors-jeu,5
30:00,30,arbitre,3
45:00,45,but / goal,27
45:00,45,penalty,1
45:00,45,VAR,0
45:00,45,carton rouge,0
45:00,45,hors-jeu,4
45:00,45,arbitre,4
60:00,60,but / goal,16
60:00,60,penalty,1
60:00,60,VAR,0
60:00,60,carton rouge,0
60:00,60,hors-jeu,3
60:00,60,arbitre,4
75:00,75,but / goal,11
75:00,75,penalty,0
75:00,75,VAR,0
75:00,75,carton rouge,0
75:00,75,hors-jeu,1
75:00,75,arbitre,1
90:00,90,but / goal,10
90:00,90,penalty,0
90:00,90,VAR,0
90:00,90,carton rouge,0
90:00,90,hors-jeu,0
90:00,90,arbitre,0
